,0
gupy.zendesk.com,20
www.novabrasilfm.com.br,20
novabrasilfm.com.br,20
difusora.thathi.com.br,20
gente.globo.com,8
radio79.thathi.com.br,20
profissionaisdoano.redeglobo.com.br,8
profissionaisdoano.globo,8
trovabar.sky.it,20
nba.com,8
tntph.com,20
skymedia.it,20
drive.google.com,20
glamour.globo.com,8
olist.com,20
www.nbaheadtohead.com,7
pldthome.com,18
pldtenterprise.com,18
www.youtubego.com,16
www.nbastore.com,6
wa.me,16
api.whatsapp.com,16
terceirotempo.bol.uol.com.br,16
terceirotempo.uol.com.br,16
www.emcasa.com,16
servicesdirectory.withyoutube.com,14
artists.youtube.com,14
vr.youtube.com,14
socialimpact.youtube.com,14
entretenimento.globo.com,4
etc.globo.com,4
www.publicidadeeditoraglobo.com.br,4
www.valor.com.br,12
kogut.oglobo.globo.com,4
redeglobo.globo.com,4
globofilmes.globo.com,4
www.vempraglobo.com.br,4
vempraglobo.g.globo,4
globoventures.globo.com,4
www.alice.com.br,12
stackoverflow.com,12
www.arena.im,12
arena.im,12
www.bompracredito.com.br,12
www.buser.com.br,12
galena.com,12
www.idwall.co,12
idwall.co,12
www.kovi.com.br,12
www.flash.cn,12
www.orama.com.br,12
www.quintoandar.com.br,12
www.sooper.com.br,12
zippi.com.br,12
www.nytimes.com,12
www.cespe.unb.br,12
issuetracker.google.com,10
canaloff.globo.com,4
conta.globo.com,4
www.alive.app.br,10
alive.app.br,10
www.enjoei.com.br,10
www.hash.com.br,10
www.hashdex.com.br,10
www.ingresse.com,10
www.livup.com.br,10
www.lojadomecanico.com.br,10
www.merama.io,10
www.nomadglobal.com,10
www.p1gg.com.br,10
prozeducacao.com.br,10
www.stone.com.br,10
www.reduza.com.br,10
itunes.apple.com,10
apps.apple.com,10
stock.adobe.com,8
www.gabriel.com.br,8
blog.adobe.com,8
appmakeover.withgoogle.com,8
developer.android.com,8
www.winnin.com,6
www.zannaoficial.com,6
www.sescsp.org.br,6
www.bwid.com.br,6
www.windowsphone.com,6
support.apple.com,4
commerce.adobe.com,4
forms.band.com.br,1
creatoracademy.youtube.com,4
github.com,4
policies.google.com,4
ads.google.com,4
theblog.adobe.com,4
webkit.org,4
developers.facebook.com,4
www.blog.google,4
blogs.windows.com,4
blog.mozilla.org,4
helpx.adobe.com,4
www.npr.org,4
goo.gl,4
www.pf.gov.br,4
contact.nba.com,0
