Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
5,Sat,2022-05-07,16:30,Atlético Mineiro,2.5,1–2,2.0,América (MG),14629,Estádio Governador Magalhães Pinto,Wilton Sampaio,Match Report,
5,Sat,2022-05-07,20:30,Atl Paranaense,1.7,1–0,1.1,Ceará,22659,Estádio Joaquim Américo Guimarães,Leandro Pedro Vuaden,Match Report,
5,Sun,2022-05-08,11:00,Flamengo,1.7,0–1,0.8,Botafogo (RJ),54981,Estadio Jornalista Mário Filho,Anderson Daronco,Match Report,
5,Sun,2022-05-08,16:00,Atl Goianiense,2.4,0–1,0.9,Goiás,5431,Estádio Antônio Accioly,Wagner do Nascimento Magalhães,Match Report,
5,Sun,2022-05-08,16:00,Palmeiras,2.1,1–1,0.7,Fluminense,28776,Allianz Parque,Savio Pereira,Match Report,
5,Sun,2022-05-08,18:00,Bragantino,0.5,0–1,0.2,Corinthians,9993,Estádio Nabi Abi Chedid,Raphael Claus,Match Report,
5,Sun,2022-05-08,18:00,Santos,2.2,4–1,1.4,Cuiabá,7256,Estádio Urbano Caldeira,Braulio da Silva Machado,Match Report,
5,Sun,2022-05-08,19:00,Juventude,0.8,1–1,0.7,Internacional,7341,Estádio Alfredo Jaconi,Bruno Arleu de Araujo,Match Report,
5,Sun,2022-05-08,19:00,Fortaleza,0.7,1–1,0.3,São Paulo,25518,Estádio Castelão,Ramon Abatti Abel,Match Report,
5,Mon,2022-05-09,20:00,Avaí,2.2,2–1,1.0,Coritiba,8548,Estádio Aderbal Ramos da Silva,Jefferson Ferreira de Moraes,Match Report,
,,,,,,,,,,,,,
7,Wed,2022-05-11,20:30,Bragantino,0.8,1–1,0.9,Atlético Mineiro,5222,Estádio Nabi Abi Chedid,Braulio da Silva Machado,Match Report,
,,,,,,,,,,,,,
6,Sat,2022-05-14,16:30,Ceará,1.0,2–2,0.7,Flamengo,52139,Estádio Castelão,Luiz Flávio de Oliveira,Match Report,
6,Sat,2022-05-14,16:30,Palmeiras,1.8,2–0,0.4,Bragantino,36123,Allianz Parque,Flavio Rodrigues De Souza,Match Report,
6,Sat,2022-05-14,19:00,Atlético Mineiro,1.3,2–0,0.2,Atl Goianiense,20749,Estádio Raimundo Sampaio,Anderson Daronco,Match Report,
6,Sat,2022-05-14,19:00,Internacional,2.1,2–2,1.7,Corinthians,18482,Estádio José Pinheiro Borba,Braulio da Silva Machado,Match Report,
6,Sun,2022-05-15,16:00,São Paulo,2.4,2–1,1.1,Cuiabá,27511,Estádio do Morumbi,Alexandre Vargas Tavares de Jesus,Match Report,
6,Sun,2022-05-15,17:30,Coritiba,0.9,1–0,0.4,América (MG),19040,Estádio Major Antônio Couto Pereira,Bruno Arleu de Araujo,Match Report,
6,Sun,2022-05-15,18:00,Botafogo (RJ),1.3,3–1,1.3,Fortaleza,23616,Estádio Nilton Santos,Jefferson Ferreira de Moraes,Match Report,
6,Sun,2022-05-15,18:00,Avaí,0.8,1–2,0.4,Juventude,9355,Estádio Aderbal Ramos da Silva,Douglas Marques das Flores,Match Report,
6,Sun,2022-05-15,19:00,Goiás,1.8,1–0,1.2,Santos,11070,Estádio de Hailé Pinheiro,Marcelo de Lima Henrique,Match Report,
6,Sat,2022-05-14,21:00,Fluminense,0.7,2–1,1.4,Atl Paranaense,4722,Estádio General Sílvio Raulino de Olivei...,Ramon Abatti Abel,Match Report,
,,,,,,,,,,,,,
7,Sat,2022-05-21,16:30,Atl Goianiense,1.1,2–0,1.3,Coritiba,4676,Estádio Antônio Accioly,Luiz Flávio de Oliveira,Match Report,
7,Sat,2022-05-21,16:30,Flamengo,1.3,1–0,0.6,Goiás,4722,Estadio Jornalista Mário Filho,Braulio da Silva Machado,Match Report,
7,Sat,2022-05-21,18:30,Santos,1.4,0–0,0.7,Ceará,25797,Arena Barueri,Savio Pereira,Match Report,
7,Sat,2022-05-21,19:00,Juventude,0.9,0–3,1.7,Palmeiras,5513,Estádio Alfredo Jaconi,Marcelo de Lima Henrique,Match Report,
7,Sun,2022-05-22,16:00,Corinthians,0.6,1–1,1.1,São Paulo,44672,Neo Química Arena,Wilton Sampaio,Match Report,
7,Sun,2022-05-22,16:00,Fortaleza,1.7,0–1,1.1,Fluminense,37507,Estádio Castelão,Anderson Daronco,Match Report,
7,Sun,2022-05-22,19:00,Atl Paranaense,1.4,2–1,1.3,Avaí,15949,Estádio Joaquim Américo Guimarães,Flavio Rodrigues De Souza,Match Report,
7,Sat,2022-05-21,20:00 (21:00),Cuiabá,0.9,1–1,1.4,Internacional,7968,Arena Pantanal,Ramon Abatti Abel,Match Report,
7,Sat,2022-05-21,21:00,América (MG),0.9,1–1,0.6,Botafogo (RJ),4236,Estádio Raimundo Sampaio,Raphael Claus,Match Report,
,,,,,,,,,,,,,
8,Sat,2022-05-28,16:30,Goiás,0.9,1–1,1.0,Bragantino,6283,Estádio de Hailé Pinheiro,Ramon Abatti Abel,Match Report,
8,Sat,2022-05-28,19:00,São Paulo,1.0,2–2,1.0,Ceará,32977,Estádio do Morumbi,Bruno Arleu de Araujo,Match Report,
8,Sat,2022-05-28,20:30,Fortaleza,0.8,1–1,1.1,Juventude,22466,Estádio Castelão,André Luiz de Freitas Castro,Match Report,
8,Sun,2022-05-29,16:00,Coritiba,2.5,1–0,1.2,Botafogo (RJ),20302,Estádio Major Antônio Couto Pereira,Braulio da Silva Machado,Match Report,
8,Sun,2022-05-29,16:00,Santos,1.7,0–1,1.8,Palmeiras,14220,Estádio Urbano Caldeira,Luiz Flávio de Oliveira,Match Report,
8,Sun,2022-05-29,17:00 (18:00),Cuiabá,0.6,0–1,1.3,Atl Paranaense,4539,Arena Pantanal,Wagner do Nascimento Magalhães,Match Report,
8,Sun,2022-05-29,18:00,Fluminense,1.6,1–2,1.0,Flamengo,57919,Estadio Jornalista Mário Filho,Raphael Claus,Match Report,
8,Sun,2022-05-29,18:00,Corinthians,0.8,1–1,1.4,América (MG),34922,Neo Química Arena,Anderson Daronco,Match Report,
