Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
18,Wed,2022-07-20,20:30,Internacional,2.5,3–3,1.9,São Paulo,32804,Estádio José Pinheiro Borba,Marcelo de Lima Henrique,Match Report,
18,Wed,2022-07-20,20:30,Flamengo,2.8,4–0,0.3,Juventude,65392,Estadio Jornalista Mário Filho,Paulo Cesar Zanovelli da Silva,Match Report,
18,Tue,2022-07-19,21:30,Ceará,1.4,1–0,1.0,Avaí,37567,Estádio Castelão,Caio Max Augusto Vieira,Match Report,
18,Thu,2022-07-21,18:00 (19:00),Cuiabá,1.9,1–1,0.8,Atlético Mineiro,18584,Arena Pantanal,Jean Pierre Goncalves Lima,Match Report,
18,Thu,2022-07-21,20:00,América (MG),2.0,0–1,1.4,Palmeiras,6462,Estádio Raimundo Sampaio,Braulio da Silva Machado,Match Report,
18,Wed,2022-07-20,21:30,Santos,1.8,2–0,1.4,Botafogo (RJ),8453,Estádio Urbano Caldeira,Ramon Abatti Abel,Match Report,
18,Wed,2022-07-20,21:30,Corinthians,1.7,3–1,0.8,Coritiba,39852,Neo Química Arena,Wagner do Nascimento Magalhães,Match Report,
,,,,,,,,,,,,,
19,Sat,2022-07-23,19:00,São Paulo,2.4,3–3,0.8,Goiás,39283,Estádio do Morumbi,Caio Max Augusto Vieira,Match Report,
19,Sun,2022-07-24,11:00,Avaí,0.8,1–2,3.8,Flamengo,17557,Estádio Aderbal Ramos da Silva,Raphael Claus,Match Report,
19,Sun,2022-07-24,16:00,Palmeiras,1.3,2–1,0.7,Internacional,38658,Allianz Parque,Bruno Arleu de Araujo,Match Report,
19,Sun,2022-07-24,16:00,Juventude,0.7,1–0,1.3,Ceará,4445,Estádio Alfredo Jaconi,Felipe Fernandes de Lima,Match Report,
19,Sun,2022-07-24,16:00,Fluminense,2.2,2–1,0.4,Bragantino,9877,Estádio General Sílvio Raulino de Olivei...,André Luiz de Freitas Castro,Match Report,
19,Sun,2022-07-24,18:00,Atlético Mineiro,0.8,1–2,1.1,Corinthians,55706,Estádio Governador Magalhães Pinto,Ramon Abatti Abel,Match Report,
19,Sun,2022-07-24,18:00,Atl Goianiense,1.7,0–1,0.7,América (MG),5098,Estádio Antônio Accioly,Jean Pierre Goncalves Lima,Match Report,
19,Sun,2022-07-24,19:00,Fortaleza,1.0,0–0,0.9,Santos,19902,Estádio Castelão,Wilton Sampaio,Match Report,
19,Sat,2022-07-23,21:00,Botafogo (RJ),0.8,2–0,0.9,Atl Paranaense,8105,Estádio Nilton Santos,Anderson Daronco,Match Report,
19,Mon,2022-07-25,20:00,Coritiba,0.4,1–0,0.3,Cuiabá,19181,Estádio Major Antônio Couto Pereira,Braulio da Silva Machado,Match Report,
,,,,,,,,,,,,,
20,Sat,2022-07-30,16:30,Ceará,1.2,1–2,1.4,Palmeiras,40912,Estádio Castelão,Anderson Daronco,Match Report,
20,Sat,2022-07-30,16:30,Goiás,1.4,1–0,1.6,Coritiba,11267,Estádio de Hailé Pinheiro,Wagner do Nascimento Magalhães,Match Report,
20,Sat,2022-07-30,19:00,Corinthians,1.4,1–0,0.6,Botafogo (RJ),42632,Neo Química Arena,Jean Pierre Goncalves Lima,Match Report,
20,Sat,2022-07-30,20:30,Flamengo,2.9,4–1,0.2,Atl Goianiense,64040,Estadio Jornalista Mário Filho,Caio Max Augusto Vieira,Match Report,
20,Sun,2022-07-31,16:00,Internacional,0.8,3–0,1.9,Atlético Mineiro,39451,Estádio José Pinheiro Borba,Flavio Rodrigues De Souza,Match Report,
20,Sun,2022-07-31,16:00,Atl Paranaense,2.5,1–0,1.4,São Paulo,26492,Estádio Joaquim Américo Guimarães,Marcelo de Lima Henrique,Match Report,
20,Sun,2022-07-31,17:00 (18:00),Cuiabá,1.4,0–1,0.6,Fortaleza,9567,Arena Pantanal,Paulo Cesar Zanovelli da Silva,Match Report,
20,Sun,2022-07-31,18:00,América (MG),2.2,3–1,0.8,Avaí,2215,Estádio Raimundo Sampaio,Vinicius Gonçalves Dias Araujo,Match Report,
20,Sun,2022-07-31,19:00,Bragantino,1.6,1–0,0.5,Juventude,3236,Estádio Nabi Abi Chedid,Bruno Arleu de Araujo,Match Report,
20,Mon,2022-08-01,20:00,Santos,1.0,2–2,1.2,Fluminense,11943,Estádio Urbano Caldeira,Braulio da Silva Machado,Match Report,
,,,,,,,,,,,,,
21,Sat,2022-08-06,16:30,Juventude,1.1,0–1,0.8,América (MG),3524,Estádio Alfredo Jaconi,Edina Alves Batista,Match Report,
21,Sat,2022-08-06,16:30,Botafogo (RJ),0.6,1–1,2.2,Ceará,21657,Estádio Nilton Santos,Raphael Claus,Match Report,
21,Sat,2022-08-06,19:00,Atl Goianiense,0.8,2–1,1.4,Bragantino,5930,Estádio Antônio Accioly,Marielson Alves Silva,Match Report,
21,Sat,2022-08-06,19:00,Avaí,1.1,1–1,1.7,Corinthians,12648,Estádio Aderbal Ramos da Silva,Wilton Sampaio,Match Report,
21,Sat,2022-08-06,20:30,São Paulo,0.6,0–2,1.7,Flamengo,45217,Estádio do Morumbi,Ramon Abatti Abel,Match Report,
21,Sun,2022-08-07,16:00,Palmeiras,2.5,3–0,0.6,Goiás,38801,Allianz Parque,Jean Pierre Goncalves Lima,Match Report,
21,Sun,2022-08-07,16:00,Fluminense,0.7,1–0,0.4,Cuiabá,46323,Estadio Jornalista Mário Filho,Flavio Rodrigues De Souza,Match Report,
21,Sun,2022-08-07,18:00,Fortaleza,1.8,3–0,0.7,Internacional,39523,Estádio Castelão,Wagner do Nascimento Magalhães,Match Report,
21,Sun,2022-08-07,19:00,Atlético Mineiro,1.5,2–3,1.2,Atl Paranaense,25119,Estádio Governador Magalhães Pinto,Braulio da Silva Machado,Match Report,
21,Mon,2022-08-08,20:00,Coritiba,1.1,1–2,1.2,Santos,22691,Estádio Major Antônio Couto Pereira,Paulo Cesar Zanovelli da Silva,Match Report,
,,,,,,,,,,,,,
22,Sat,2022-08-13,16:30,Goiás,1.0,1–1,1.7,Avaí,10831,Estádio de Hailé Pinheiro,Flavio Rodrigues De Souza,Match Report,
22,Sat,2022-08-13,19:00,Corinthians,0.4,0–1,0.4,Palmeiras,44966,Neo Química Arena,Raphael Claus,Match Report,
22,Sat,2022-08-13,19:30 (20:30),Cuiabá,1.8,1–0,0.2,Juventude,6909,Arena Pantanal,Marielson Alves Silva,Match Report,
22,Sun,2022-08-14,11:00,Coritiba,0.4,0–1,3.1,Atlético Mineiro,17608,Estádio Major Antônio Couto Pereira,Marcelo de Lima Henrique,Match Report,
22,Sun,2022-08-14,16:00,Flamengo,1.9,5–0,0.2,Atl Paranaense,62716,Estadio Jornalista Mário Filho,Wilton Sampaio,Match Report,
22,Sun,2022-08-14,16:00,São Paulo,1.5,3–0,0.5,Bragantino,31358,Estádio do Morumbi,Paulo Cesar Zanovelli da Silva,Match Report,
22,Sun,2022-08-14,16:00,Ceará,0.6,0–1,1.2,Fortaleza,33355,Estádio Castelão,Jean Pierre Goncalves Lima,Match Report,
22,Sun,2022-08-14,18:00,América (MG),0.6,1–0,0.3,Santos,2978,Estádio Raimundo Sampaio,Paulo Roberto Alves Júnior,Match Report,
22,Sun,2022-08-14,19:00,Internacional,1.6,3–0,0.3,Fluminense,14824,Estádio José Pinheiro Borba,Ramon Abatti Abel,Match Report,
22,Sat,2022-08-13,21:00,Botafogo (RJ),0.8,0–0,0.7,Atl Goianiense,12230,Estádio Nilton Santos,Edina Alves Batista,Match Report,
,,,,,,,,,,,,,
23,Sat,2022-08-20,16:30,Atlético Mineiro,2.1,0–1,0.1,Goiás,31650,Estádio Governador Magalhães Pinto,Vinicius Gonçalves Dias Araujo,Match Report,
23,Sat,2022-08-20,19:00,Fluminense,1.6,5–2,0.5,Coritiba,24029,Estadio Jornalista Mário Filho,Paulo Cesar Zanovelli da Silva,Match Report,
23,Sun,2022-08-21,11:00,Juventude,0.6,2–2,2.4,Botafogo (RJ),3095,Estádio Alfredo Jaconi,Raphael Claus,Match Report,
23,Sun,2022-08-21,16:00,Palmeiras,1.5,1–1,0.9,Flamengo,40485,Allianz Parque,Ramon Abatti Abel,Match Report,
23,Sun,2022-08-21,18:00,Bragantino,3.1,1–1,1.3,Ceará,2488,Estádio Nabi Abi Chedid,Bruno Arleu de Araujo,Match Report,
23,Sun,2022-08-21,18:00,Atl Goianiense,0.4,1–1,1.9,Cuiabá,4578,Estádio Antônio Accioly,Anderson Daronco,Match Report,
23,Sun,2022-08-21,18:00,Atl Paranaense,1.5,1–1,0.9,América (MG),15023,Estádio Joaquim Américo Guimarães,Savio Pereira,Match Report,
23,Sun,2022-08-21,18:00,Fortaleza,1.0,1–0,0.2,Corinthians,44338,Estádio Castelão,Leandro Pedro Vuaden,Match Report,
23,Sun,2022-08-21,19:00,Santos,1.0,1–0,1.2,São Paulo,12598,Estádio Urbano Caldeira,Wilton Sampaio,Match Report,
23,Mon,2022-08-22,20:00,Avaí,0.7,0–1,1.7,Internacional,13911,Estádio Aderbal Ramos da Silva,Edina Alves Batista,Match Report,
,,,,,,,,,,,,,
24,Sat,2022-08-27,16:30,Goiás,1.3,2–1,0.5,Atl Goianiense,13411,Estádio de Hailé Pinheiro,Marcelo de Lima Henrique,Match Report,
24,Sat,2022-08-27,16:30,Coritiba,0.8,1–0,0.8,Avaí,17597,Estádio Major Antônio Couto Pereira,Savio Pereira,Match Report,
24,Sat,2022-08-27,19:00,Fluminense,1.3,1–1,0.6,Palmeiras,45084,Estadio Jornalista Mário Filho,Braulio da Silva Machado,Match Report,
24,Sun,2022-08-28,16:00,América (MG),1.2,1–1,0.6,Atlético Mineiro,7016,Estádio Raimundo Sampaio,Ramon Abatti Abel,Match Report,
24,Sun,2022-08-28,16:00,São Paulo,1.8,0–1,0.2,Fortaleza,30210,Estádio do Morumbi,Paulo Cesar Zanovelli da Silva,Match Report,
24,Sun,2022-08-28,17:00 (18:00),Cuiabá,1.3,0–0,0.5,Santos,19136,Arena Pantanal,Jean Pierre Goncalves Lima,Match Report,
24,Sun,2022-08-28,18:00,Botafogo (RJ),0.5,0–1,0.9,Flamengo,14442,Estádio Nilton Santos,Flavio Rodrigues De Souza,Match Report,
24,Sat,2022-08-27,21:00,Ceará,1.0,0–0,0.6,Atl Paranaense,16754,Estádio Castelão,Vinicius Gonçalves Dias Araujo,Match Report,
24,Mon,2022-08-29,20:00,Internacional,3.2,4–0,0.2,Juventude,16518,Estádio José Pinheiro Borba,Bruno Arleu de Araujo,Match Report,
24,Mon,2022-08-29,21:30,Corinthians,0.9,1–0,1.0,Bragantino,36228,Neo Química Arena,Wilton Sampaio,Match Report,
,,,,,,,,,,,,,
25,Sat,2022-09-03,16:30,Juventude,2.3,1–1,1.1,Avaí,2708,Estádio Alfredo Jaconi,Diego Pombo Lopez,Match Report,
25,Sat,2022-09-03,19:00,Atl Paranaense,0.6,1–0,0.8,Fluminense,14037,Estádio Joaquim Américo Guimarães,Flavio Rodrigues De Souza,Match Report,
25,Sat,2022-09-03,19:00,Bragantino,1.4,2–2,1.2,Palmeiras,9685,Estádio Nabi Abi Chedid,Raphael Claus,Match Report,
25,Sat,2022-09-03,20:30,América (MG),2.0,2–0,0.7,Coritiba,2840,Estádio Raimundo Sampaio,Dyorgines José Padovani Andrade,Match Report,
25,Sun,2022-09-04,11:00,Flamengo,1.1,1–1,0.3,Ceará,64387,Estadio Jornalista Mário Filho,Paulo Cesar Zanovelli da Silva,Match Report,
25,Sun,2022-09-04,16:00,Corinthians,1.9,2–2,0.8,Internacional,41423,Neo Química Arena,Braulio da Silva Machado,Match Report,
25,Sun,2022-09-04,16:00,Fortaleza,1.9,1–3,1.6,Botafogo (RJ),54505,Estádio Castelão,Ramon Abatti Abel,Match Report,
25,Sun,2022-09-04,18:00,Atl Goianiense,0.4,0–2,1.3,Atlético Mineiro,7083,Estádio Antônio Accioly,Luiz Flávio de Oliveira,Match Report,
25,Sun,2022-09-04,18:00 (19:00),Cuiabá,2.2,1–1,1.2,São Paulo,33050,Arena Pantanal,Wagner do Nascimento Magalhães,Match Report,
25,Mon,2022-09-05,20:00,Santos,1.5,1–2,0.9,Goiás,11497,Estádio Urbano Caldeira,Anderson Daronco,Match Report,
,,,,,,,,,,,,,
26,Wed,2022-09-07,17:00,Atlético Mineiro,1.3,1–1,0.7,Bragantino,35,Estádio Governador Magalhães Pinto,Jean Pierre Goncalves Lima,Match Report,
26,Sat,2022-09-10,16:30,Ceará,0.8,2–1,0.9,Santos,38339,Estádio Castelão,Braulio da Silva Machado,Match Report,
26,Sat,2022-09-10,16:30,Internacional,1.5,1–0,0.0,Cuiabá,30719,Estádio José Pinheiro Borba,Maguielson Lima Barbosa,Match Report,
26,Sat,2022-09-10,19:00,Fluminense,1.3,2–1,1.0,Fortaleza,26533,Estadio Jornalista Mário Filho,Paulo Roberto Alves Júnior,Match Report,
26,Sun,2022-09-11,11:00,Avaí,1.7,1–1,0.8,Atl Paranaense,9487,Estádio Aderbal Ramos da Silva,Paulo Cesar Zanovelli da Silva,Match Report,
26,Sun,2022-09-11,11:00,Botafogo (RJ),1.1,0–0,0.6,América (MG),32285,Estádio Nilton Santos,Jose Mendonca da Silva Junior,Match Report,
26,Sun,2022-09-11,16:00,Coritiba,1.3,2–0,0.8,Atl Goianiense,15046,Estádio Major Antônio Couto Pereira,Vinicius Gonçalves Dias Araujo,Match Report,
26,Sun,2022-09-11,16:00,São Paulo,1.4,1–1,1.5,Corinthians,46444,Estádio do Morumbi,Marcelo de Lima Henrique,Match Report,
26,Sun,2022-09-11,19:00,Goiás,0.7,1–1,1.7,Flamengo,13798,Estádio de Hailé Pinheiro,Ramon Abatti Abel,Match Report,
26,Sat,2022-09-10,21:00,Palmeiras,1.7,2–1,0.7,Juventude,39337,Allianz Parque,Jefferson Ferreira de Moraes,Match Report,
,,,,,,,,,,,,,
27,Sat,2022-09-17,16:30,Avaí,1.1,1–0,1.4,Atlético Mineiro,5081,Estádio Aderbal Ramos da Silva,André Luiz de Freitas Castro,Match Report,
27,Sat,2022-09-17,19:00,Botafogo (RJ),1.5,2–0,0.9,Coritiba,32285,Estádio Nilton Santos,Paulo Cesar Zanovelli da Silva,Match Report,
27,Sun,2022-09-18,11:00,Bragantino,1.8,1–1,1.0,Goiás,3984,Estádio Nabi Abi Chedid,Jose Mendonca da Silva Junior,Match Report,
27,Sun,2022-09-18,16:00,Flamengo,2.6,1–2,2.0,Fluminense,55170,Estadio Jornalista Mário Filho,Raphael Claus,Match Report,
27,Sun,2022-09-18,16:00,Ceará,0.5,0–2,2.7,São Paulo,43000,Estádio Castelão,Maguielson Lima Barbosa,Match Report,
27,Sun,2022-09-18,18:00,Juventude,1.7,1–1,0.4,Fortaleza,2144,Estádio Alfredo Jaconi,Dyorgines José Padovani Andrade,Match Report,
27,Sun,2022-09-18,18:00,América (MG),1.2,1–0,0.7,Corinthians,6416,Estádio Raimundo Sampaio,Bruno Arleu de Araujo,Match Report,
27,Sun,2022-09-18,18:30,Palmeiras,1.0,1–0,0.6,Santos,40337,Allianz Parque,Wilton Sampaio,Match Report,
27,Sun,2022-09-18,19:00,Atl Paranaense,1.5,2–2,0.6,Cuiabá,16524,Estádio Joaquim Américo Guimarães,Anderson Daronco,Match Report,
27,Mon,2022-09-19,20:00,Atl Goianiense,1.3,1–2,1.9,Internacional,5185,Estádio Antônio Accioly,Edina Alves Batista,Match Report,
,,,,,,,,,,,,,
28,Sun,2022-09-25,20:00,São Paulo,1.3,4–0,0.3,Avaí,36510,Estádio do Morumbi,Bruno Arleu de Araujo,Match Report,
28,Wed,2022-09-28,19:00,Corinthians,2.9,2–1,1.0,Atl Goianiense,32398,Neo Química Arena,Leandro Pedro Vuaden,Match Report,
28,Wed,2022-09-28,19:00,Fluminense,1.3,4–0,0.3,Juventude,23396,Estadio Jornalista Mário Filho,Edina Alves Batista,Match Report,
28,Wed,2022-09-28,19:00,Fortaleza,1.4,3–2,1.1,Flamengo,46299,Estádio Castelão,Flavio Rodrigues De Souza,Match Report,
28,Wed,2022-09-28,19:00,Coritiba,1.0,1–0,0.3,Ceará,14735,Estádio Major Antônio Couto Pereira,Raphael Claus,Match Report,
28,Tue,2022-09-27,21:00,Santos,0.8,2–0,0.8,Atl Paranaense,7464,Estádio Urbano Caldeira,Braulio da Silva Machado,Match Report,
28,Wed,2022-09-28,20:00 (21:00),Cuiabá,0.5,2–1,2.7,América (MG),3364,Arena Pantanal,Dyorgines José Padovani Andrade,Match Report,
28,Wed,2022-09-28,21:45,Internacional,1.6,0–0,1.0,Bragantino,17945,Estádio José Pinheiro Borba,Wagner do Nascimento Magalhães,Match Report,
28,Wed,2022-09-28,21:45,Goiás,0.2,0–1,0.7,Botafogo (RJ),10774,Estádio de Hailé Pinheiro,Luiz Flávio de Oliveira,Match Report,
28,Wed,2022-09-28,21:45,Atlético Mineiro,1.2,0–1,1.3,Palmeiras,28644,Estádio Governador Magalhães Pinto,Marcelo de Lima Henrique,Match Report,
,,,,,,,,,,,,,
29,Sat,2022-10-01,15:00,Internacional,1.0,1–0,0.3,Santos,30858,Estádio José Pinheiro Borba,Ramon Abatti Abel,Match Report,
29,Sat,2022-10-01,15:00,Atlético Mineiro,1.7,2–0,0.3,Fluminense,20858,Estádio Governador Magalhães Pinto,Luiz Flávio de Oliveira,Match Report,
29,Sat,2022-10-01,15:00,Ceará,1.8,1–2,1.3,América (MG),13976,Estádio Castelão,Edina Alves Batista,Match Report,
29,Sat,2022-10-01,19:00,Goiás,0.7,0–1,1.1,Fortaleza,9898,Estádio de Hailé Pinheiro,Raphael Claus,Match Report,
29,Sat,2022-10-01,19:00,Atl Paranaense,1.5,2–0,0.2,Juventude,14403,Estádio Joaquim Américo Guimarães,Maguielson Lima Barbosa,Match Report,
29,Sat,2022-10-01,19:00,Avaí,0.9,1–2,1.5,Atl Goianiense,8062,Estádio Aderbal Ramos da Silva,Flavio Rodrigues De Souza,Match Report,
29,Sat,2022-10-01,19:00,Flamengo,4.0,4–1,0.9,Bragantino,46698,Estadio Jornalista Mário Filho,Anderson Daronco,Match Report,
29,Sat,2022-10-01,21:00,Corinthians,1.4,2–0,0.4,Cuiabá,37681,Neo Química Arena,Caio Max Augusto Vieira,Match Report,
29,Mon,2022-10-03,20:00,Botafogo (RJ),0.9,1–3,2.5,Palmeiras,16545,Estádio Nilton Santos,Wilton Sampaio,Match Report,
,,,,,,,,,,,,,
30,Wed,2022-10-05,19:00,Bragantino,1.4,2–1,1.3,Cuiabá,2704,Estádio Nabi Abi Chedid,Jefferson Ferreira de Moraes,Match Report,
30,Wed,2022-10-05,19:00,Ceará,1.0,1–1,1.2,Goiás,16702,Estádio Castelão,Vinicius Gonçalves Dias Araujo,Match Report,
30,Wed,2022-10-05,19:00,Atl Goianiense,2.4,3–2,2.2,Fluminense,6075,Estádio Antônio Accioly,Anderson Daronco,Match Report,
30,Wed,2022-10-05,19:30,Atl Paranaense,1.2,1–1,0.5,Fortaleza,15646,Estádio Joaquim Américo Guimarães,Rafael Rodrigo Klein,Match Report,
30,Tue,2022-10-04,21:30,Juventude,1.2,2–2,0.8,Corinthians,3159,Estádio Alfredo Jaconi,Wagner do Nascimento Magalhães,Match Report,
30,Thu,2022-10-06,19:00,Palmeiras,2.4,4–0,0.4,Coritiba,39877,Allianz Parque,Braulio da Silva Machado,Match Report,
30,Thu,2022-10-06,20:00,América (MG),1.0,1–2,1.8,São Paulo,3916,Estádio Raimundo Sampaio,Ramon Abatti Abel,Match Report,
30,Thu,2022-10-06,20:00,Avaí,0.9,1–2,2.0,Botafogo (RJ),6097,Estádio Aderbal Ramos da Silva,Paulo Cesar Zanovelli da Silva,Match Report,
30,Wed,2022-10-05,21:30,Flamengo,1.4,0–0,0.8,Internacional,43710,Estadio Jornalista Mário Filho,Flavio Rodrigues De Souza,Match Report,
30,Wed,2022-10-05,21:30,Santos,2.0,1–2,1.2,Atlético Mineiro,9278,Estádio Urbano Caldeira,Bruno Arleu de Araujo,Match Report,
,,,,,,,,,,,,,
31,Sat,2022-10-08,18:00 (19:00),Cuiabá,1.7,1–2,2.7,Flamengo,40059,Arena Pantanal,Raphael Claus,Match Report,
31,Sun,2022-10-09,11:00,Internacional,2.5,4–2,2.0,Goiás,31554,Estádio José Pinheiro Borba,Edina Alves Batista,Match Report,
31,Sun,2022-10-09,16:00,Fortaleza,1.7,2–0,0.6,Avaí,40968,Estádio Castelão,Luiz Flávio de Oliveira,Match Report,
31,Sun,2022-10-09,16:00,São Paulo,0.7,0–1,1.1,Botafogo (RJ),23918,Estádio do Morumbi,Jean Pierre Goncalves Lima,Match Report,
31,Sun,2022-10-09,18:00,Fluminense,1.0,0–2,1.7,América (MG),23324,Estadio Jornalista Mário Filho,Leandro Pedro Vuaden,Match Report,
31,Sun,2022-10-09,18:00,Atlético Mineiro,1.3,0–0,0.5,Ceará,34718,Estádio Governador Magalhães Pinto,Flavio Rodrigues De Souza,Match Report,
31,Sun,2022-10-09,18:00,Coritiba,0.6,2–1,1.1,Bragantino,16877,Estádio Major Antônio Couto Pereira,Ramon Abatti Abel,Match Report,
31,Sat,2022-10-08,21:00,Corinthians,1.2,2–1,1.4,Atl Paranaense,38403,Neo Química Arena,Anderson Daronco,Match Report,
31,Mon,2022-10-10,18:30,Atl Goianiense,0.6,1–1,1.1,Palmeiras,12089,Estádio Antônio Accioly,Bruno Arleu de Araujo,Match Report,
31,Mon,2022-10-10,20:00,Santos,2.3,4–1,0.7,Juventude,9171,Estádio Urbano Caldeira,Jose Mendonca da Silva Junior,Match Report,
,,,,,,,,,,,,,
32,Sat,2022-10-15,20:30,América (MG),1.7,1–2,1.2,Fortaleza,2863,Estádio Raimundo Sampaio,Vinicius Gonçalves Dias Araujo,Match Report,
32,Sat,2022-10-15,20:30,Flamengo,0.9,1–0,0.6,Atlético Mineiro,51179,Estadio Jornalista Mário Filho,Ramon Abatti Abel,Match Report,
32,Sun,2022-10-16,16:00,Ceará,1.9,1–1,0.6,Cuiabá,41242,Estádio Castelão,Caio Max Augusto Vieira,Match Report,
32,Sun,2022-10-16,16:00,Palmeiras,2.0,0–0,0.4,São Paulo,40795,Allianz Parque,Flavio Rodrigues De Souza,Match Report,
32,Sun,2022-10-16,18:00,Botafogo (RJ),0.5,0–1,0.8,Internacional,24445,Estádio Nilton Santos,Braulio da Silva Machado,Match Report,
32,Sun,2022-10-16,18:00,Juventude,1.0,1–1,0.4,Atl Goianiense,1489,Estádio Alfredo Jaconi,Felipe Fernandes de Lima,Match Report,
32,Sun,2022-10-16,19:00,Avaí,0.9,0–3,2.5,Fluminense,79,Estádio Aderbal Ramos da Silva,Anderson Daronco,Match Report,
32,Sun,2022-10-16,19:00,Atl Paranaense,0.6,1–0,0.5,Coritiba,28954,Estádio Joaquim Américo Guimarães,Jean Pierre Goncalves Lima,Match Report,
32,Mon,2022-10-17,20:00,Bragantino,1.7,0–2,0.4,Santos,6705,Estádio Nabi Abi Chedid,Paulo Cesar Zanovelli da Silva,Match Report,
,,,,,,,,,,,,,
29,Thu,2022-10-20,20:00,São Paulo,2.3,3–1,0.7,Coritiba,,Estádio do Morumbi,Flavio Rodrigues De Souza,Match Report,
,,,,,,,,,,,,,
33,Sat,2022-10-22,16:30,Bragantino,2.3,4–2,0.4,Atl Paranaense,,Estádio Nabi Abi Chedid,Caio Max Augusto Vieira,Match Report,
33,Sat,2022-10-22,19:00,Santos,0.8,0–1,0.4,Corinthians,,Estádio Urbano Caldeira,Flavio Rodrigues De Souza,Match Report,
33,Sat,2022-10-22,19:00,América (MG),0.8,1–2,1.2,Flamengo,,Estádio Raimundo Sampaio,Jean Pierre Goncalves Lima,Match Report,
33,Sun,2022-10-23,16:00,Fluminense,2.2,2–2,0.7,Botafogo (RJ),,Estadio Jornalista Mário Filho,Ramon Abatti Abel,Match Report,
33,Sun,2022-10-23,16:00,Juventude,0.7,1–2,0.8,São Paulo,,Estádio Alfredo Jaconi,Paulo Roberto Alves Júnior,Match Report,
33,Sun,2022-10-23,17:00 (18:00),Cuiabá,1.6,1–2,0.6,Goiás,,Arena Pantanal,Dyorgines José Padovani Andrade,Match Report,
33,Sun,2022-10-23,18:00,Atl Goianiense,0.5,1–0,1.0,Ceará,,Estádio Antônio Accioly,Luiz Flávio de Oliveira,Match Report,
33,Sun,2022-10-23,18:00,Coritiba,0.5,1–1,1.1,Internacional,,Estádio Major Antônio Couto Pereira,Wagner do Nascimento Magalhães,Match Report,
33,Sat,2022-10-22,21:00,Palmeiras,3.9,3–0,0.8,Avaí,,Allianz Parque,Bruno Arleu de Araujo,Match Report,
33,Mon,2022-10-24,20:00,Fortaleza,0.2,0–0,0.7,Atlético Mineiro,,Estádio Castelão,Raphael Claus,Match Report,
,,,,,,,,,,,,,
34,Wed,2022-10-26,19:30,Botafogo (RJ),1.3,2–1,0.5,Bragantino,11093,Estádio Nilton Santos,Dyorgines José Padovani Andrade,Match Report,
34,Tue,2022-10-25,21:45,Flamengo,2.0,3–2,0.7,Santos,44679,Estadio Jornalista Mário Filho,André Luiz de Freitas Castro,Match Report,
34,Tue,2022-10-25,21:45,Atl Paranaense,0.2,1–3,2.2,Palmeiras,,Estádio Joaquim Américo Guimarães,Braulio da Silva Machado,Match Report,
34,Thu,2022-10-27,19:00,São Paulo,0.8,2–1,1.4,Atl Goianiense,,Estádio do Morumbi,Bruno Arleu de Araujo,Match Report,
34,Thu,2022-10-27,19:00 (20:00),Cuiabá,0.8,1–0,1.3,Avaí,,Arena Pantanal,Luiz Flávio de Oliveira,Match Report,
34,Thu,2022-10-27,19:00,Fortaleza,1.8,3–1,1.1,Coritiba,,Estádio Castelão,Flavio Rodrigues De Souza,Match Report,
34,Thu,2022-10-27,19:30,Atlético Mineiro,2.0,1–0,0.6,Juventude,,Estádio Governador Magalhães Pinto,Savio Pereira,Match Report,
34,Wed,2022-10-26,21:45,Goiás,0.8,2–2,1.6,América (MG),7274,Estádio de Hailé Pinheiro,Wagner do Nascimento Magalhães,Match Report,
34,Wed,2022-10-26,21:45,Internacional,2.2,2–1,1.5,Ceará,,Estádio José Pinheiro Borba,Ramon Abatti Abel,Match Report,
34,Wed,2022-10-26,21:45,Corinthians,0.7,0–2,1.4,Fluminense,37920,Neo Química Arena,Leandro Pedro Vuaden,Match Report,
,,,,,,,,,,,,,
32,Sat,2022-10-29,19:30,Goiás,1.3,0–0,1.2,Corinthians,9497,Estádio de Hailé Pinheiro,Bruno Arleu de Araujo,Match Report,
,,,,,,,,,,,,,
35,Mon,2022-10-31,20:00,Ceará,0.5,0–1,2.0,Fluminense,,Estádio Castelão,Raphael Claus,Match Report,
35,Tue,2022-11-01,19:00,Botafogo (RJ),1.2,0–2,1.1,Cuiabá,16365,Estádio Nilton Santos,Jean Pierre Goncalves Lima,Match Report,
35,Wed,2022-11-02,16:00,América (MG),1.3,1–0,1.2,Internacional,,Estádio Raimundo Sampaio,Bruno Arleu de Araujo,Match Report,
35,Wed,2022-11-02,16:00,Atl Paranaense,2.7,3–2,0.8,Goiás,,Estádio Joaquim Américo Guimarães,Leandro Pedro Vuaden,Match Report,
35,Wed,2022-11-02,19:00,Juventude,0.4,0–1,1.1,Coritiba,,Estádio Alfredo Jaconi,Marcelo de Lima Henrique,Match Report,
35,Wed,2022-11-02,19:00,Avaí,1.5,1–2,1.8,Bragantino,,Estádio Aderbal Ramos da Silva,Wagner do Nascimento Magalhães,Match Report,
35,Wed,2022-11-02,19:00,Atl Goianiense,1.9,2–3,0.6,Santos,,Estádio Antônio Accioly,Anderson Daronco,Match Report,
35,Tue,2022-11-01,21:30,São Paulo,0.8,2–2,1.5,Atlético Mineiro,,Estádio do Morumbi,Braulio da Silva Machado,Match Report,
