Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
102,Jonathan Calleri,ar ARG,FW,São Paulo,28,1993,36,30,2818,31.3,18,2,20,17,1,2,5,0,13.2,11.7,3.0,14.6,41,41,193,0.57,0.06,0.64,0.54,0.61,0.42,0.09,0.52,0.37,0.47,Matches,6922f806
103,Guilherme Camacho,br BRA,MF,Santos,31,1990,26,18,1630,18.1,1,1,2,1,0,0,8,0,0.3,0.3,0.7,1.1,9,74,10,0.06,0.06,0.11,0.06,0.11,0.02,0.04,0.06,0.02,0.06,Matches,61a6775b
104,Nathan Camargo,br BRA,MFFW,Bragantino,16,2005,5,0,70,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2c79da44
105,Camilo,br BRA,MF,Cuiabá,22,1999,24,17,1664,18.5,0,0,0,0,0,0,3,0,0.6,0.6,0.4,1.0,19,81,16,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches,dfb81359
106,Camutanga,br BRA,DF,Atl Goianiense,28,1993,1,1,71,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches,c455a045
107,Luan Cândido,br BRA,DF,Bragantino,20,2001,32,30,2624,29.2,11,2,13,9,2,2,4,2,8.5,7.0,1.6,8.6,29,95,76,0.38,0.07,0.45,0.31,0.38,0.29,0.06,0.35,0.24,0.30,Matches,ca151606
108,Germán Cano,ar ARG,FW,Fluminense,33,1988,38,37,3081,34.2,26,3,29,26,0,0,2,0,18.4,18.4,1.4,19.8,14,29,126,0.76,0.09,0.85,0.76,0.85,0.54,0.04,0.58,0.54,0.58,Matches,9ccf4e14
109,Agustín Canobbio,uy URU,FW,Atl Paranaense,23,1998,25,18,1408,15.6,2,0,2,2,0,0,2,0,2.0,2.0,1.2,3.2,28,35,98,0.13,0.00,0.13,0.13,0.13,0.13,0.08,0.21,0.13,0.21,Matches,4f5a2f38
110,Víctor Cantillo,co COL,MF,Corinthians,28,1993,19,10,916,10.2,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,11,72,10,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,45075f2f
111,Capixaba,br BRA,FWMF,Juventude,25,1997,27,20,1652,18.4,1,1,2,1,0,0,6,0,1.2,1.2,1.7,2.9,47,41,108,0.05,0.05,0.11,0.05,0.11,0.06,0.09,0.16,0.06,0.16,Matches,ea2634a1
112,Juninho Capixaba,br BRA,DF,Fortaleza,24,1997,34,32,2906,32.3,3,4,7,3,0,0,8,0,2.0,2.0,3.7,5.8,97,169,175,0.09,0.12,0.22,0.09,0.22,0.06,0.12,0.18,0.06,0.18,Matches,91ba7336
113,Gabriel Carabajal,ar ARG,MFFW,Santos,30,1991,8,7,498,5.5,1,0,1,1,0,0,2,0,0.3,0.3,0.3,0.7,5,20,18,0.18,0.00,0.18,0.18,0.18,0.06,0.06,0.12,0.06,0.12,Matches,7a694ae4
114,Johnny Cardoso,us USA,MF,Internacional,20,2001,24,17,1410,15.7,3,2,5,3,0,0,5,0,2.9,2.9,2.0,4.8,19,75,37,0.19,0.13,0.32,0.19,0.32,0.18,0.13,0.31,0.18,0.31,Matches,7426f085
115,Igor Cariús,br BRA,DFMF,Cuiabá,28,1993,17,14,1159,12.9,0,0,0,0,0,0,6,1,0.3,0.3,0.4,0.7,12,71,45,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches,662475de
116,Joel Carli,ar ARG,DF,Botafogo (RJ),35,1986,5,4,365,4.1,0,1,1,0,0,0,3,0,0.4,0.4,0.6,1.1,0,3,0,0.00,0.25,0.25,0.00,0.25,0.11,0.16,0.27,0.11,0.27,Matches,00d6e369
117,Ed Carlos,br BRA,MF,Santos,20,2001,6,3,261,2.9,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.4,1,20,13,0.00,0.34,0.34,0.00,0.34,0.02,0.11,0.12,0.02,0.12,Matches,e93e479e
118,Jan Carlos Hurtado,ve VEN,FW,Bragantino,21,2000,13,7,490,5.4,0,0,0,0,0,0,0,0,1.2,1.2,0.4,1.6,3,0,23,0.00,0.00,0.00,0.00,0.00,0.21,0.08,0.29,0.21,0.29,Matches,f50b0b2b
119,João Carlos,br BRA,GK,Cuiabá,33,1988,11,10,951,10.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ad9e7995
120,Alan Carvalho,cn CHN,FWMF,Fluminense,32,1989,4,0,36,0.4,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,0,1,1,2.50,0.00,2.50,2.50,2.50,0.30,0.00,0.30,0.30,0.30,Matches,ebb2d232
121,Guilherme Carvalho,br BRA,MF,Ceará,22,1999,13,8,682,7.6,1,0,1,1,0,0,2,0,1.2,1.2,0.3,1.5,3,25,15,0.13,0.00,0.13,0.13,0.13,0.16,0.04,0.20,0.16,0.20,Matches,a32d25d3
122,Guilherme Carvalho,br BRA,MFDF,Atlético Mineiro,22,1999,4,2,140,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,a32d25d3
123,Cássio,br BRA,GK,Corinthians,34,1987,34,34,3059,34.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d42f6326
124,Luciano Castán,br BRA,DF,Coritiba,32,1989,35,35,3149,35.0,2,0,2,2,0,0,7,1,0.9,0.9,0.4,1.3,24,101,6,0.06,0.00,0.06,0.06,0.06,0.03,0.01,0.04,0.03,0.04,Matches,0470eeba
125,Iury de Castilho,br BRA,FW,Ceará,26,1995,13,4,521,5.8,0,1,1,0,0,0,3,0,0.6,0.6,0.8,1.4,22,18,48,0.00,0.17,0.17,0.00,0.17,0.10,0.13,0.23,0.10,0.23,Matches,555311f2
126,Cauã,br BRA,DF,Juventude,18,2003,1,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3c48a088
127,Matheus Cavichioli,br BRA,GK,América (MG),35,1986,25,25,2250,25.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8470f026
128,Brayan Ceballos,co COL,DF,Fortaleza,20,2001,16,12,1075,11.9,0,0,0,0,0,0,8,1,1.3,1.3,0.2,1.4,9,34,13,0.00,0.00,0.00,0.00,0.00,0.11,0.01,0.12,0.11,0.12,Matches,3fa61ade
129,Murilo Cerqueira,br BRA,DF,Palmeiras,24,1997,32,32,2837,31.5,5,1,6,5,0,0,7,0,3.5,3.5,1.8,5.3,19,121,1,0.16,0.03,0.19,0.16,0.19,0.11,0.06,0.17,0.11,0.17,Matches,10fe831e
130,Reynaldo Cesar Moraes,br BRA,DF,Goiás,25,1997,32,32,2745,30.5,0,0,0,0,0,0,4,0,0.7,0.7,0.2,0.9,9,34,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,589d070c
131,Jhon Chancellor,ve VEN,DF,Coritiba,30,1992,13,13,1170,13.0,0,0,0,0,0,0,3,0,0.9,0.9,0.0,0.9,8,24,1,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,84b6acaa
132,Arthur Chaves,br BRA,DF,Avaí,21,2001,17,17,1485,16.5,1,0,1,1,0,0,5,0,1.0,1.0,0.1,1.1,6,20,0,0.06,0.00,0.06,0.06,0.06,0.06,0.01,0.07,0.06,0.07,Matches,913e4711
133,Renato Chaves,br BRA,DF,Juventude,31,1990,2,2,164,1.8,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,0,1,0,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31,Matches,2a51efe8
134,Chico,br BRA,MFFW,Juventude,30,1991,33,26,2177,24.2,1,2,3,0,1,1,3,1,2.2,1.4,3.6,5.0,46,126,85,0.04,0.08,0.12,0.00,0.08,0.09,0.15,0.24,0.06,0.21,Matches,bad7d8a9
135,Christian,br BRA,MF,Atl Paranaense,21,2000,9,4,428,4.8,0,0,0,0,0,0,3,0,0.5,0.5,0.3,0.9,3,10,12,0.00,0.00,0.00,0.00,0.00,0.11,0.07,0.18,0.11,0.18,Matches,a856b456
136,Diego Churín,ar ARG,FW,Atl Goianiense,32,1989,36,25,2387,26.5,7,1,8,6,1,1,6,0,6.3,5.5,1.2,6.7,12,44,109,0.26,0.04,0.30,0.23,0.26,0.24,0.04,0.28,0.21,0.25,Matches,875ac6e9
137,Marcelo Cirino,br BRA,FW,Atl Paranaense,30,1992,11,6,472,5.2,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,10,11,23,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.09,0.05,0.09,Matches,6ba81b35
138,Léo Cittadini,br BRA,MFFW,Atl Paranaense,27,1994,20,4,724,8.0,1,1,2,1,0,0,2,0,0.8,0.8,0.6,1.4,5,22,29,0.12,0.12,0.25,0.12,0.25,0.10,0.08,0.17,0.10,0.17,Matches,68410185
139,Luccas Claro,br BRA,DF,Fluminense,30,1991,10,4,464,5.2,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,9,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,3cacc0ec
140,Clayton,br BRA,FWMF,Coritiba,23,1999,9,3,328,3.6,0,0,0,0,0,0,1,0,1.0,1.0,0.7,1.7,6,5,24,0.00,0.00,0.00,0.00,0.00,0.27,0.20,0.47,0.27,0.47,Matches,b05870de
141,Cléber,br BRA,FW,Ceará,25,1996,21,12,979,10.9,4,0,4,4,0,0,6,1,4.8,4.8,1.2,6.0,12,21,73,0.37,0.00,0.37,0.37,0.37,0.45,0.11,0.55,0.45,0.55,Matches,e539e239
142,Jean Cléber,br BRA,MF,Avaí,31,1990,26,7,868,9.6,0,0,0,0,0,0,2,0,0.4,0.4,1.2,1.6,13,52,26,0.00,0.00,0.00,0.00,0.00,0.04,0.13,0.17,0.04,0.17,Matches,16bf849a
143,Cleiton,br BRA,DF,Flamengo,18,2003,1,0,2,0.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,741c6251
144,Andrés Colorado,co COL,MF,São Paulo,23,1998,8,5,308,3.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,12,5,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches,f3afff11
145,Germán Conti,ar ARG,DF,América (MG),27,1994,23,17,1653,18.4,0,0,0,0,0,0,1,0,1.1,1.1,0.4,1.5,2,47,4,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches,7b18b6db
146,Jonathan Copete,co COL,FW,Avaí,34,1988,7,3,279,3.1,0,0,0,0,0,0,1,0,0.8,0.8,0.3,1.1,4,6,18,0.00,0.00,0.00,0.00,0.00,0.27,0.09,0.36,0.27,0.36,Matches,ce070a45
147,Bruno Cortez,br BRA,DF,Avaí,34,1987,27,27,2430,27.0,0,0,0,0,0,0,7,0,0.4,0.4,0.9,1.3,68,115,78,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches,a3a1198a
148,Talles Costa,br BRA,MF,São Paulo,19,2002,12,5,546,6.1,0,2,2,0,0,0,1,0,0.1,0.1,0.7,0.8,13,30,26,0.00,0.33,0.33,0.00,0.33,0.02,0.12,0.13,0.02,0.13,Matches,d8f15d24
149,Lucas Crispim,br BRA,DFMF,Fortaleza,27,1994,23,14,1170,13.0,1,1,2,1,0,0,4,0,0.4,0.4,1.3,1.7,14,57,52,0.08,0.08,0.15,0.08,0.15,0.03,0.10,0.13,0.03,0.13,Matches,6501ff61
150,Daniel Cruz,br BRA,FWDF,Botafogo (RJ),20,2001,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,86a118c2
151,Tomás Cuello,ar ARG,FW,Atl Paranaense,21,2000,31,19,1616,18.0,2,4,6,2,0,0,6,1,2.3,2.3,2.4,4.7,76,73,163,0.11,0.22,0.33,0.11,0.33,0.13,0.13,0.26,0.13,0.26,Matches,5c8615dd
152,Víctor Cuesta,ar ARG,DF,Botafogo (RJ),33,1988,29,28,2569,28.5,4,2,6,4,0,0,8,0,2.0,2.0,0.7,2.7,10,78,5,0.14,0.07,0.21,0.14,0.21,0.07,0.03,0.09,0.07,0.09,Matches,39fb428f
153,Andrés D'Alessandro,ar ARG,FW,Internacional,40,1981,1,1,71,0.8,1,0,1,1,0,0,1,0,0.1,0.1,0.2,0.3,2,7,8,1.27,0.00,1.27,1.27,1.27,0.09,0.24,0.33,0.09,0.33,Matches,6a11048a
154,Adailson Dadá,br BRA,MFFW,Goiás,24,1997,33,30,2508,27.9,2,6,8,2,0,0,10,1,2.6,2.6,3.4,6.1,67,56,129,0.07,0.22,0.29,0.07,0.29,0.09,0.12,0.22,0.09,0.22,Matches,2a75cc09
155,Daniel,br BRA,GK,Internacional,27,1994,23,23,2070,23.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,636fc976
156,Danilo,br BRA,DF,Goiás,24,1997,5,1,238,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,0,2,0,0.38,0.00,0.38,0.38,0.38,0.13,0.00,0.13,0.13,0.13,Matches,415a34c5
157,Danilo,br BRA,MF,Palmeiras,20,2001,34,33,2743,30.5,1,2,3,1,0,0,5,1,2.8,2.8,1.4,4.2,38,139,37,0.03,0.07,0.10,0.03,0.10,0.09,0.04,0.14,0.09,0.14,Matches,a816dbfb
158,David,br BRA,MF,Ceará,17,2004,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.58,0.00,0.58,Matches,16a42430
159,David,br BRA,FW,Internacional,26,1995,21,10,819,9.1,0,2,2,0,0,0,1,0,1.7,1.7,1.3,2.9,24,26,58,0.00,0.22,0.22,0.00,0.22,0.18,0.14,0.31,0.18,0.31,Matches,92f9ace5
160,Kayke David,br BRA,FWMF,Flamengo,19,2003,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,3,8,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,Matches,2285358d
161,Giorgian De Arrascaeta,uy URU,MF,Flamengo,27,1994,24,16,1477,16.4,3,10,13,3,0,0,1,0,6.9,6.9,8.1,15.0,37,127,160,0.18,0.61,0.79,0.18,0.79,0.42,0.50,0.92,0.42,0.92,Matches,be8d02dd
162,Denilson,br BRA,MF,Cuiabá,20,2001,12,8,701,7.8,0,0,0,0,0,0,4,0,0.2,0.2,0.5,0.7,10,35,15,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09,Matches,9144afdf
163,Dentinho,br BRA,FW,Ceará,33,1989,5,0,51,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,85686f86
164,Dentinho,br BRA,FWMF,Avaí,24,1997,10,1,284,3.2,0,0,0,0,0,0,4,0,0.2,0.2,0.5,0.7,6,13,31,0.00,0.00,0.00,0.00,0.00,0.07,0.14,0.21,0.07,0.21,Matches,aaacc628
165,Valentín Depietri,ar ARG,FWMF,Fortaleza,21,2000,16,0,234,2.6,0,0,0,0,0,0,0,0,0.3,0.3,0.8,1.1,17,13,35,0.00,0.00,0.00,0.00,0.00,0.11,0.30,0.41,0.11,0.41,Matches,d02cb5d7
166,Deyverson,br BRA,FW,Cuiabá,30,1991,16,15,1269,14.1,6,0,6,4,2,3,4,0,5.8,3.5,1.3,4.8,13,29,67,0.43,0.00,0.43,0.28,0.28,0.41,0.10,0.51,0.25,0.34,Matches,2e5e846d
167,Luan Dias,br BRA,MFFW,Goiás,24,1997,22,7,770,8.6,0,0,0,0,0,0,7,0,0.1,0.1,0.5,0.6,19,45,31,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.07,0.02,0.07,Matches,a342ce1e
168,Matheus Dias,br BRA,MF,Internacional,24,1997,2,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,4,0,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Matches,ddfa9005
169,Juan Díaz,co COL,MF,Coritiba,20,2001,4,1,137,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,9,2,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches,36839110
170,Diego,br BRA,MFDF,Ceará,33,1988,7,2,207,2.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,9,14,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches,cd09e9a1
171,Diego,br BRA,GK,Atl Goianiense,23,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6b023405
172,Diego,br BRA,DF,São Paulo,22,1999,21,18,1720,19.1,1,0,1,1,0,0,7,0,0.9,0.9,0.3,1.2,13,65,4,0.05,0.00,0.05,0.05,0.05,0.04,0.02,0.06,0.04,0.06,Matches,7fb8f90c
173,Diego,br BRA,MF,Flamengo,36,1985,19,11,883,9.8,1,0,1,1,0,0,3,0,0.6,0.6,0.2,0.8,18,46,27,0.10,0.00,0.10,0.10,0.10,0.06,0.02,0.08,0.06,0.08,Matches,255a478a
174,Diego,br BRA,GK,Botafogo (RJ),23,1998,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6b023405
175,Dieguinho,br BRA,MFDF,Goiás,26,1995,34,34,2893,32.1,2,5,7,2,0,0,4,0,1.6,1.6,1.6,3.1,83,110,67,0.06,0.16,0.22,0.06,0.22,0.05,0.05,0.10,0.05,0.10,Matches,7e5a7340
176,Dodô,br BRA,DF,Atlético Mineiro,29,1992,13,11,905,10.1,1,0,1,1,0,0,2,0,0.6,0.6,0.5,1.1,13,33,50,0.10,0.00,0.10,0.10,0.10,0.06,0.05,0.11,0.06,0.11,Matches,99931185
177,Matheus Donelli,br BRA,GK,Corinthians,19,2002,3,2,181,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7c736064
178,Renan dos Santos,br BRA,GK,Atl Goianiense,32,1989,16,16,1440,16.0,0,0,0,0,0,0,2,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,6bfaecc4
179,Douglas,br BRA,DF,Bragantino,33,1988,1,1,68,0.8,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,e7fea035
180,Rodrigo Dourado,br BRA,MF,Internacional,27,1994,8,5,450,5.0,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,3,18,6,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,d7d05a22
181,David Duarte,br BRA,DF,Fluminense,27,1995,4,0,84,0.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,91bf16f7
182,Dudu,br BRA,FW,Palmeiras,30,1992,38,36,2815,31.3,7,8,15,7,0,0,2,0,8.2,8.2,5.5,13.8,156,167,309,0.22,0.26,0.48,0.22,0.48,0.26,0.18,0.44,0.26,0.44,Matches,895ef5ec
183,Dudu,br BRA,DF,Juventude,19,2002,2,2,112,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,3f10ae0b
184,Pablo Dyego,br BRA,FW,Avaí,27,1994,10,4,484,5.4,0,0,0,0,0,0,1,0,0.6,0.6,0.3,0.9,15,15,33,0.00,0.00,0.00,0.00,0.00,0.10,0.06,0.16,0.10,0.16,Matches,fce54d7d
185,Edenílson,br BRA,MF,Internacional,32,1989,31,24,2184,24.3,6,3,9,3,3,3,3,0,6.3,4.0,3.1,7.0,54,114,81,0.25,0.12,0.37,0.12,0.25,0.26,0.13,0.39,0.16,0.29,Matches,4e50f20e
186,Eder,br BRA,DF,América (MG),26,1995,33,33,2942,32.7,0,2,2,0,0,0,6,0,0.5,0.5,0.4,0.9,14,81,3,0.00,0.06,0.06,0.00,0.06,0.02,0.01,0.03,0.02,0.03,Matches,ba1a2c4c
187,Éder,it ITA,FWMF,São Paulo,35,1986,23,6,667,7.4,3,0,3,2,1,1,4,0,1.7,0.9,0.4,1.3,15,11,52,0.40,0.00,0.40,0.27,0.27,0.23,0.05,0.28,0.12,0.17,Matches,5a325298
188,Edinho,br BRA,MF,Juventude,27,1994,10,4,366,4.1,0,1,1,0,0,0,0,0,,,,,,,,0.00,0.25,0.25,0.00,0.25,,,,,,Matches,a8cedcd9
189,Edson,br BRA,MFDF,Atl Goianiense,23,1998,25,7,820,9.1,0,0,0,0,0,0,7,0,0.3,0.3,0.7,0.9,20,54,27,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10,Matches,644d4d85
190,Edson,br BRA,DFMF,Atl Goianiense,30,1991,17,17,1424,15.8,0,0,0,0,0,0,5,0,0.3,0.3,0.0,0.3,11,49,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,041250aa
191,Carlos Eduardo,br BRA,MF,Botafogo (RJ),32,1989,14,13,1101,12.2,3,1,4,3,0,0,3,0,2.6,2.6,2.9,5.5,22,69,42,0.25,0.08,0.33,0.25,0.33,0.21,0.23,0.45,0.21,0.45,Matches,1a234d32
192,Carlos Eduardo,br BRA,FWMF,Bragantino,25,1996,24,8,902,10.0,0,0,0,0,0,0,4,0,0.9,0.9,0.2,1.1,16,14,63,0.00,0.00,0.00,0.00,0.00,0.09,0.02,0.11,0.09,0.11,Matches,27c23008
193,Elton,br BRA,MF,Juventude,31,1990,18,12,1163,12.9,0,1,1,0,0,0,5,0,0.7,0.7,0.4,1.1,7,34,7,0.00,0.08,0.08,0.00,0.08,0.05,0.03,0.08,0.05,0.08,Matches,42b5868b
194,Leandro Emmanuel Martínez,ar ARG,MF,América (MG),27,1994,4,3,261,2.9,0,0,0,0,0,0,1,0,1.1,1.1,0.5,1.6,5,21,14,0.00,0.00,0.00,0.00,0.00,0.37,0.19,0.56,0.37,0.56,Matches,74758396
195,Alan Empereur,br BRA,DF,Cuiabá,27,1994,28,25,2221,24.7,1,0,1,1,0,0,9,1,0.9,0.9,0.1,1.0,10,64,4,0.04,0.00,0.04,0.04,0.04,0.04,0.00,0.04,0.04,0.04,Matches,825b8997
196,Endrick,br BRA,FW,Palmeiras,15,2006,7,3,307,3.4,3,0,3,3,0,0,1,0,3.1,3.1,1.0,4.1,4,5,13,0.88,0.00,0.88,0.88,0.88,0.90,0.30,1.20,0.90,1.20,Matches,a2728fbf
197,Erick,br BRA,MF,Atl Paranaense,24,1997,31,20,1849,20.5,3,0,3,3,0,0,2,0,2.7,2.7,0.9,3.6,13,80,25,0.15,0.00,0.15,0.15,0.15,0.13,0.04,0.17,0.13,0.17,Matches,8a826636
198,Erick,br BRA,FWMF,Ceará,24,1997,24,10,1051,11.7,2,0,2,1,1,1,5,0,2.7,2.0,2.0,4.0,47,72,147,0.17,0.00,0.17,0.09,0.09,0.24,0.17,0.41,0.17,0.34,Matches,8edcad0d
199,Erison,br BRA,FW,Botafogo (RJ),22,1999,20,17,1483,16.5,7,1,8,6,1,1,2,0,4.7,4.5,1.3,5.7,29,15,90,0.42,0.06,0.49,0.36,0.42,0.29,0.08,0.36,0.27,0.35,Matches,a9c450cb
200,Estevão,br BRA,FWMF,Internacional,19,2002,8,0,108,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,8,7,0.00,0.00,0.00,0.00,0.00,0.09,0.07,0.16,0.09,0.16,Matches,149f4681
201,Lucas Evangelista,br BRA,MF,Bragantino,26,1995,34,31,2610,29.0,2,2,4,1,1,2,2,1,4.5,2.9,1.6,4.5,36,151,81,0.07,0.07,0.14,0.03,0.10,0.16,0.05,0.21,0.10,0.15,Matches,5f4ce4b6
202,Everaldo,br BRA,MFFW,América (MG),27,1994,29,25,1892,21.0,4,2,6,3,1,1,6,0,4.0,3.1,3.3,6.4,99,101,198,0.19,0.10,0.29,0.14,0.24,0.19,0.15,0.34,0.15,0.30,Matches,bdb57777
203,Éverson,br BRA,GK,Atlético Mineiro,31,1990,37,37,3330,37.0,0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a59c090b
204,Éverton,br BRA,MFFW,Cuiabá,33,1988,7,5,400,4.4,1,0,1,1,0,0,2,0,0.4,0.4,0.1,0.5,11,10,30,0.23,0.00,0.23,0.23,0.23,0.09,0.02,0.11,0.09,0.11,Matches,f50a3570
205,Fabinho,br BRA,MF,Palmeiras,19,2002,4,0,69,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,ff0e595c
206,Fábio,br BRA,FWMF,Atlético Mineiro,24,1997,5,1,137,1.5,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.5,1,1,11,0.00,0.00,0.00,0.00,0.00,0.18,0.17,0.34,0.18,0.34,Matches,30f90535
207,Fábio,br BRA,GK,Fluminense,41,1980,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,15825726
208,Fabrício,br BRA,FWMF,Coritiba,24,1997,28,19,1500,16.7,3,4,7,3,0,0,3,0,2.7,2.7,3.2,5.9,37,58,100,0.18,0.24,0.42,0.18,0.42,0.16,0.19,0.35,0.16,0.35,Matches,0211a29e
209,Fagner,br BRA,DF,Corinthians,32,1989,17,9,904,10.0,0,1,1,0,0,0,3,0,0.1,0.1,1.1,1.2,20,64,50,0.00,0.10,0.10,0.00,0.10,0.01,0.11,0.12,0.01,0.12,Matches,a9cc58fe
