,0
www.stone.com.br,10
www.reduza.com.br,10
itunes.apple.com,10
apps.apple.com,10
official.nba.com,9
umsoplaneta.globo.com,9
www.nbastore.ca,9
vogue.globo.com,9
inscricao.band.uol.com.br,9
blogs.oglobo.globo.com,9
forum.techtudo.globo.com,9
premiere.globo.com,9
bhfm.globo.com,9
brasileiros.globo.com,8
careers.nba.com,8
pegntv.globo.com,8
pr.nba.com,8
www.nbastore.in,8
www.grupoglobo.globo.com,8
lockervision.nba.com,8
globoreporter.globo.com,8
ego.globo.com,8
bip.globo.com,8
globoads.globo.com,8
support.watch.nba.com,8
privacy.band.com.br,8
mundogloob.globo.com,8
creativemanager.negocios8.redeglobo.com.br,8
nbastore.com.ph,8
nba.smart,8
historia.globo.com,8
app.link.nba.com,8
gente.globo.com,8
profissionaisdoano.redeglobo.com.br,8
profissionaisdoano.globo,8
nba.com,8
glamour.globo.com,8
stock.adobe.com,8
www.gabriel.com.br,8
blog.adobe.com,8
appmakeover.withgoogle.com,8
developer.android.com,8
www.nbaheadtohead.com,7
www.nbastore.com,6
www.winnin.com,6
www.zannaoficial.com,6
www.sescsp.org.br,6
www.bwid.com.br,6
www.windowsphone.com,6
entretenimento.globo.com,4
etc.globo.com,4
www.publicidadeeditoraglobo.com.br,4
kogut.oglobo.globo.com,4
redeglobo.globo.com,4
globofilmes.globo.com,4
www.vempraglobo.com.br,4
vempraglobo.g.globo,4
globoventures.globo.com,4
canaloff.globo.com,4
conta.globo.com,4
support.apple.com,4
commerce.adobe.com,4
creatoracademy.youtube.com,4
github.com,4
policies.google.com,4
ads.google.com,4
theblog.adobe.com,4
webkit.org,4
developers.facebook.com,4
www.blog.google,4
blogs.windows.com,4
blog.mozilla.org,4
helpx.adobe.com,4
www.npr.org,4
goo.gl,4
www.pf.gov.br,4
forms.band.com.br,1
contact.nba.com,0
